Date,Time,State,PuFrom,Address,Street
2014.07.01,16:49,NY                                                                                                                           ,MANHATTAN,151,W 34 ST             
2014.07.09,6:30,NY                                                                                                                           ,MANHATTAN,50,MURRAY ST           
2014.07.11,5:15,NY                                                                                                                           ,MANHATTAN,70,LITTLE WEST ST      
2014.07.21,8:30,JFK DELTA TERM 2  CURBSIDE                                                                                                   ,,      ,                    
2014.07.21,7:15,NY                                                                                                                           ,MANHATTAN,39,E 29 ST             
2014.07.21,5:00,NY                                                                                                                           ,MANHATTAN,353,E 72 ST             
2014.07.21,6:00,NY                                                                                                                           ,MANHATTAN,115,ELIZABETH ST        
2014.07.22,6:15,NY                                                                                                                           ,MANHATTAN,615,E 14 ST             
2014.07.21,4:15,NY                                                                                                                           ,MANHATTAN,184,THOMPSON ST         
2014.07.20,6:45,NY                                                                                                                           ,MANHATTAN,1,ASTOR PL            
2014.07.15,9:30,NY                                                                                                                           ,QUEENS,2145,44 DR               
2014.07.15,7:00,NY                                                                                                                           ,MANHATTAN,77,BLEECKER ST         
2014.07.24,4:15,NY                                                                                                                           ,MANHATTAN,26,GRAND ST            
2014.07.16,7:30,NY                                                                                                                           ,MANHATTAN,50,BATTERY PL          
2014.07.19,4:15,NY                                                                                                                           ,MANHATTAN,60,E 8 ST              
2014.07.18,6:45,NY                                                                                                                           ,MANHATTAN,312,11 AVE              
2014.07.25,7:00,NY                                                                                                                           ,MANHATTAN,8,STONE ST            
2014.07.14,6:01,EWR UNITED PICK-UP AREA 3                                                                                                    ,,      ,                    
2014.07.23,6:00,NY                                                                                                                           ,MANHATTAN,131,PERRY ST            
2014.07.28,11:00,NY                                                                                                                           ,MANHATTAN,4,E 95 ST             
2014.07.17,5:15,NY                                                                                                                           ,MANHATTAN,141,2 AVE               
2014.07.30,6:30,NY                                                                                                                           ,MANHATTAN,131,MADISON AVE         
2014.07.23,4:15,NY                                                                                                                           ,MANHATTAN,560,W 43 ST             
2014.07.25,4:00,NY                                                                                                                           ,MANHATTAN,122,MACDOUGAL ST        
2014.07.03,7:15,NY                                                                                                                           ,MANHATTAN,95,PERRY ST            
2014.07.17,4:00,NY                                                                                                                           ,MANHATTAN,21,E 10 ST             
2014.07.29,6:45,NY                                                                                                                           ,MANHATTAN,120,E 34 ST             
2014.07.29,5:07,EWR UNITED PICK-UP AREA 3                                                                                                    ,,      ,                    
2014.07.19,6:45,NY                                                                                                                           ,MANHATTAN,313,E 9 ST              
2014.07.26,4:00,NY                                                                                                                           ,MANHATTAN,450,W 17 St             
2014.07.26,5:30,NY                                                                                                                           ,Manhattan                               ,57,ANN ST              
2014.08.07,4:00,NY                                                                                                                           ,MANHATTAN,111,E 48 ST             
2014.07.12,9:15,NY                                                                                                                           ,MANHATTAN,410,E 92 ST             
2014.07.28,5:00,NY                                                                                                                           ,QUEENS,2711,CORP KENNEDY ST     
2014.07.22,4:15,NY                                                                                                                           ,MANHATTAN,250,W 50 ST             
2014.08.04,9:30,NY                                                                                                                           ,MANHATTAN,1335,6 AVE               
2014.07.16,8:15,NY                                                                                                                           ,MANHATTAN,167,E 61 ST             
2014.07.23,9:00,NY                                                                                                                           ,MANHATTAN,345,W 58 ST             
2014.07.28,9:45,NY                                                                                                                           ,MANHATTAN,355,8 AVE               
2014.07.18,4:15,NY                                                                                                                           ,MANHATTAN,57,E 57 ST             
2014.07.24,6:00,NY                                                                                                                           ,MANHATTAN,111,BARROW ST           
2014.07.23,7:28,JFK DELTA TERM 2  CURBSIDE                                                                                                   ,,      ,                    
2014.07.22,8:00,JFK AMERICAN DOMESTIC Pickup Area C                                                                                          ,,      ,                    
2014.08.02,4:30,NY                                                                                                                           ,MANHATTAN,201,E 2 ST              
2014.07.27,11:00,NY                                                                                                                           ,QUEENS,475,48 AVE              
2014.07.25,5:30,NY                                                                                                                           ,MANHATTAN,260,W 26 ST             
2014.08.01,4:45,NY                                                                                                                           ,MANHATTAN,200,RECTOR PL           
2014.07.31,4:00,NY                                                                                                                           ,MANHATTAN,21,WEST ST             
2014.07.30,8:45,NY                                                                                                                           ,QUEENS,15846,76 AVE              
2014.08.03,5:45,NY                                                                                                                           ,MANHATTAN,142,WEST END AVE        
2014.07.29,4:15,NY                                                                                                                           ,MANHATTAN,303,BROOME ST           
2014.07.28,4:00,NY                                                                                                                           ,MANHATTAN,118,W 73 ST             
2014.08.11,5:45,NY                                                                                                                           ,MANHATTAN,116,W 14 ST             
2014.08.09,4:47,NY                                                                                                                           ,MANHATTAN,321,W 16 ST             
2014.07.28,8:05,EWR UNITED TERM A DOOR 2                                                                                                     ,,      ,                    
2014.08.10,4:15,NY                                                                                                                           ,Manhattan                               ,55,W 25 ST             
